,Period,Time,grid_node,Domestic_electricity,SolarGains
341,6,1,35.0,4.374441093975900,0.0
342,6,1,38.0,4.490503737913750,0.0
343,6,1,40.0,1.681156626506020,0.0
344,6,1,41.0,13.071565328240800,0.0
345,6,1,45.0,4.414487244542870,0.0
346,6,1,58.0,1.965106265060240,0.0
347,6,1,59.0,2.197153402409640,0.0
348,6,1,61.0,11.066537778301300,0.0
349,6,1,65.0,0.6759948549533120,0.0
350,6,1,67.0,3.2433638400000000,0.0
351,6,1,68.0,11.005430201064900,0.0
352,6,1,73.0,0.9261879518072290,0.0
353,6,1,74.0,3.3471072000000000,0.0
354,6,1,76.0,5.3180915662650600,0.0
355,6,1,89.0,0.5361349397590360,0.0
356,6,1,97.0,0.7408454400000000,0.0
357,6,1,101.0,0.275277108433735,0.0
358,6,1,102.0,1.3948915662650600,0.0
359,6,1,104.0,0.3808000000000000,0.0
360,6,1,105.0,1.4698612800000000,0.0
361,6,1,107.0,7.686490506024100,0.0
362,6,1,108.0,6.257966265060240,0.0
363,6,1,111.0,3.663874486770050,0.0
364,6,1,120.0,3.9651394374228500,0.0
365,6,1,127.0,1.7522762400000000,0.0
366,6,1,130.0,6.396915662650600,0.0
367,6,1,134.0,24.866606575701100,0.0
368,6,1,140.0,17.850548005748700,0.0
369,6,1,141.0,2.26833696,0.0
370,6,1,143.0,52.360376068935,0.0
371,6,1,151.0,6.594461862180920,0.0
372,6,1,152.0,8.88234709901856,0.0
373,6,1,154.0,2.5783208898735100,0.0
374,6,1,155.0,7.222961641569120,0.0
375,6,1,157.0,2.7323393318236600,0.0
376,6,1,160.0,4.4810369683081,0.0
377,6,1,168.0,9.744628320286910,0.0
378,6,1,171.0,5.99289465810279,0.0
379,6,1,173.0,16.44140956030100,0.0
380,6,1,192.0,2.4510331759036100,0.0
381,6,1,193.0,4.5767070720000000,0.0
382,6,1,195.0,4.0937379840000000,0.0
383,6,1,196.0,0.69062544,0.0
384,7,1,1.0,1.2813105314225900,0.0
385,7,1,2.0,0.7555330351807230,0.0
386,7,1,5.0,2.366727710843370,0.0
387,7,1,6.0,1.7237590361445800,0.0
388,7,1,10.0,0.02205216,0.0
389,7,1,11.0,3.4609350862650600,0.0
390,7,1,13.0,0.6436240963855420,0.0
391,7,1,16.0,17.196632413245900,0.0
392,7,1,17.0,0.2849156626506020,0.0
393,7,1,19.0,4.502357428546490,0.0
394,7,1,20.0,2.2951209600000000,0.0
395,7,1,21.0,2.777831325301210,0.0
396,7,1,22.0,9.345946694802880,0.0
397,7,1,23.0,9.294343189382130,0.0
398,7,1,24.0,25.856203975903600,0.0
399,7,1,25.0,1.040809638554220,0.0
400,7,1,26.0,8.029637599036150,0.0
401,7,1,27.0,31.037750985420900,0.0
402,7,1,29.0,4.5870285765765800,0.0
403,7,1,33.0,19.456559718574000,0.0
404,7,1,34.0,8.289312390361450,0.0
405,7,1,35.0,4.374441093975900,0.0
406,7,1,38.0,4.490503737913750,0.0
407,7,1,40.0,1.681156626506020,0.0
408,7,1,41.0,13.760235536240800,0.0
409,7,1,45.0,4.414487244542870,0.0
410,7,1,58.0,1.965106265060240,0.0
411,7,1,59.0,2.197153402409640,0.0
412,7,1,61.0,11.557649202301300,0.0
